Date,54T,24T,27T,30T,36T,40T,44T
1/1/2013,43,38,N/A,36,38,N/A,N/A
1/2/2013,56,46,N/A,39,47,N/A,12
1/3/2013,59,60,N/A,38,40,N/A,15
1/4/2013,N/A,58,N/A,39,44,N/A,12
1/5/2013,N/A,59,N/A,43,41,N/A,17
1/6/2013,62,58,N/A,43,49,N/A,24
1/7/2013,59,64,N/A,43,46,N/A,25
1/8/2013,78,86,N/A,59,46,N/A,20
1/9/2013,86,97,N/A,64,49,N/A,16
1/10/2013,69,98,N/A,44,53,N/A,N/A
1/11/2013,55,76,N/A,29,55,N/A,11
1/12/2013,N/A,69,N/A,20,43,N/A,16
1/13/2013,40,58,N/A,21,38,N/A,17
1/14/2013,39,72,N/A,21,50,N/A,20
1/15/2013,43,89,N/A,21,41,N/A,21
1/16/2013,51,105,N/A,33,52,N/A,28
1/17/2013,62,91,N/A,50,53,N/A,23
1/18/2013,46,80,N/A,34,55,N/A,20
1/19/2013,55,70,N/A,44,46,N/A,29
1/20/2013,74,97,N/A,70,46,N/A,19
1/21/2013,84,131,N/A,N/A,44,N/A,18
1/22/2013,112,132,N/A,77,51,N/A,9
1/23/2013,72,140,N/A,48,44,N/A,13
1/24/2013,41,98,N/A,26,32,N/A,15
1/25/2013,34,64,N/A,23,33,N/A,18
1/26/2013,30,55,N/A,13,38,N/A,13
1/27/2013,31,42,N/A,22,49,N/A,14
1/28/2013,44,37,N/A,27,45,N/A,17
1/29/2013,61,54,N/A,39,43,N/A,18
1/30/2013,58,68,N/A,36,33,N/A,18
1/31/2013,44,78,N/A,23,N/A,N/A,13
2/1/2013,58,54,N/A,44,21,N/A,12
2/2/2013,72,63,N/A,59,25,N/A,11
2/3/2013,73,48,N/A,58,23,N/A,12
2/4/2013,88,72,N/A,61,28,N/A,12
2/5/2013,97,92,N/A,N/A,30,N/A,12
2/6/2013,29,78,N/A,17,29,N/A,13
2/7/2013,38,60,N/A,18,34,N/A,19
2/8/2013,34,58,N/A,17,46,N/A,16
2/9/2013,31,57,N/A,18,57,N/A,12
2/10/2013,46,67,N/A,18,65,N/A,12
2/11/2013,57,86,N/A,35,49,N/A,13
2/12/2013,57,95,N/A,31,52,N/A,9
2/13/2013,64,70,N/A,52,65,N/A,14
2/14/2013,89,114,N/A,62,67,N/A,12
2/15/2013,109,119,N/A,56,69,N/A,11
2/16/2013,49,93,N/A,16,68,N/A,12
2/17/2013,34,90,N/A,15,81,N/A,13
2/18/2013,32,51,N/A,17,49,N/A,15
2/19/2013,33,N/A,N/A,19,34,N/A,20
2/20/2013,N/A,60,N/A,22,51,N/A,18
2/21/2013,N/A,81,N/A,26,51,N/A,17
2/22/2013,N/A,58,N/A,51,65,N/A,24
2/23/2013,47,35,N/A,37,42,N/A,19
2/24/2013,60,40,N/A,N/A,45,N/A,15
2/25/2013,70,65,N/A,60,57,N/A,9
2/26/2013,63,89,N/A,52,76,N/A,8
2/27/2013,31,70,N/A,18,76,N/A,10
2/28/2013,32,45,N/A,12,N/A,N/A,10
3/1/2013,22,40,N/A,12,N/A,N/A,10
3/2/2013,28,43,N/A,12,N/A,N/A,10
3/3/2013,39,49,N/A,12,N/A,N/A,11
3/4/2013,44,40,N/A,28,N/A,N/A,15
3/5/2013,50,43,N/A,32,N/A,N/A,21
3/6/2013,68,55,N/A,49,N/A,N/A,19
3/7/2013,80,67,N/A,60,32,N/A,18
3/8/2013,72,78,N/A,N/A,30,N/A,18
3/9/2013,35,69,N/A,27,17,N/A,24
3/10/2013,37,54,N/A,27,28,N/A,26
3/11/2013,40,51,N/A,27,49,N/A,28
3/12/2013,38,55,N/A,23,56,N/A,26
3/13/2013,47,59,N/A,20,73,N/A,23
3/14/2013,33,59,N/A,19,100,N/A,23
3/15/2013,46,51,N/A,28,108,N/A,15
3/16/2013,43,55,N/A,20,102,N/A,11
3/17/2013,27,33,N/A,15,94,N/A,N/A
3/18/2013,29,32,N/A,14,74,N/A,16
3/19/2013,36,32,N/A,12,62,N/A,18
3/20/2013,30,36,N/A,13,112,N/A,22
3/21/2013,32,37,N/A,15,188,N/A,17
3/22/2013,24,41,N/A,10,141,N/A,15
3/23/2013,22,37,N/A,10,N/A,N/A,14
3/24/2013,21,35,N/A,9,N/A,N/A,18
3/25/2013,27,47,N/A,13,N/A,N/A,23
3/26/2013,41,62,N/A,21,N/A,N/A,25
3/27/2013,41,60,N/A,19,N/A,N/A,25
3/28/2013,41,61,N/A,19,120,N/A,25
3/29/2013,30,46,N/A,13,101,N/A,22
3/30/2013,29,43,N/A,10,101,N/A,18
3/31/2013,20,35,N/A,10,88,N/A,21
4/1/2013,20,31,N/A,7,82,N/A,15
4/2/2013,19,31,N/A,8,89,N/A,10
4/3/2013,27,40,N/A,11,102,N/A,15
4/4/2013,32,37,N/A,11,112,N/A,29
4/5/2013,49,56,N/A,27,77,N/A,23
4/6/2013,61,74,N/A,35,90,N/A,36
4/7/2013,60,92,N/A,36,N/A,N/A,46
4/8/2013,61,92,N/A,37,N/A,N/A,49
4/9/2013,55,73,N/A,32,N/A,N/A,42
4/10/2013,47,58,N/A,30,93,N/A,35
4/11/2013,36,49,N/A,17,84,N/A,21
4/12/2013,35,39,N/A,13,72,N/A,N/A
4/13/2013,37,31,N/A,13,48,N/A,N/A
4/14/2013,21,29,N/A,6,50,N/A,N/A
4/15/2013,20,15,N/A,8,41,N/A,9
4/16/2013,20,15,N/A,5,28,N/A,16
4/17/2013,23,17,N/A,9,61,N/A,13
4/18/2013,32,30,N/A,12,56,N/A,17
4/19/2013,31,47,N/A,22,61,N/A,21
4/20/2013,28,40,N/A,19,70,N/A,24
4/21/2013,26,36,N/A,16,50,N/A,28
4/22/2013,26,36,N/A,18,32,N/A,21
4/23/2013,26,27,N/A,13,24,N/A,23
4/24/2013,34,40,N/A,12,30,N/A,28
4/25/2013,19,34,N/A,9,27,N/A,22
4/26/2013,20,31,N/A,7,35,N/A,22
4/27/2013,17,28,N/A,5,41,N/A,20
4/28/2013,30,26,N/A,10,42,N/A,14
4/29/2013,21,24,N/A,6,49,N/A,18
4/30/2013,17,23,N/A,5,53,N/A,23
5/1/2013,18,26,N/A,6,54,N/A,18
5/2/2013,23,29,N/A,11,41,N/A,13
5/3/2013,31,29,N/A,8,30,N/A,14
5/4/2013,22,28,N/A,6,25,N/A,15
5/5/2013,28,23,N/A,10,26,N/A,25
5/6/2013,34,40,N/A,11,25,N/A,11
5/7/2013,27,26,N/A,9,21,N/A,16
5/8/2013,24,28,N/A,9,27,N/A,22
5/9/2013,25,26,N/A,9,27,N/A,18
5/10/2013,19,25,N/A,9,29,N/A,17
5/11/2013,14,26,N/A,7,28,N/A,N/A
5/12/2013,20,21,N/A,8,29,N/A,19
5/13/2013,23,22,N/A,8,31,N/A,22
5/14/2013,N/A,20,N/A,7,24,N/A,20
5/15/2013,35,N/A,N/A,8,21,N/A,19
5/16/2013,20,26,N/A,10,20,N/A,20
5/17/2013,21,23,N/A,11,25,N/A,17
5/18/2013,19,22,N/A,6,19,N/A,12
5/19/2013,22,16,N/A,6,25,N/A,21
5/20/2013,22,20,N/A,8,18,N/A,17
5/21/2013,21,22,N/A,8,33,N/A,27
5/22/2013,27,35,N/A,12,34,N/A,13
5/23/2013,32,26,N/A,13,26,N/A,19
5/24/2013,26,21,N/A,7,20,N/A,26
5/25/2013,19,19,N/A,6,17,N/A,14
5/26/2013,13,23,N/A,6,23,N/A,12
5/27/2013,21,17,N/A,9,25,N/A,13
5/28/2013,22,24,N/A,10,23,N/A,12
5/29/2013,26,24,N/A,13,23,N/A,18
5/30/2013,N/A,41,N/A,16,19,N/A,16
5/31/2013,N/A,30,N/A,17,22,N/A,22
6/1/2013,N/A,27,N/A,17,16,N/A,23
6/2/2013,N/A,23,N/A,8,20,N/A,17
6/3/2013,N/A,22,N/A,7,25,N/A,13
6/4/2013,33,17,N/A,10,18,N/A,14
6/5/2013,36,13,N/A,10,15,N/A,15
6/6/2013,37,15,N/A,6,21,N/A,13
6/7/2013,35,24,N/A,9,19,N/A,19
6/8/2013,37,18,N/A,9,18,N/A,14
6/9/2013,38,17,N/A,8,18,N/A,11
6/10/2013,38,21,N/A,13,18,N/A,10
6/11/2013,36,20,N/A,11,N/A,N/A,11
6/12/2013,35,25,N/A,10,27,N/A,17
6/13/2013,37,30,N/A,7,23,N/A,19
6/14/2013,37,25,N/A,9,28,N/A,23
6/15/2013,39,22,N/A,9,26,N/A,21
6/16/2013,41,27,N/A,16,32,N/A,25
6/17/2013,40,19,N/A,12,26,N/A,15
6/18/2013,43,17,N/A,11,31,N/A,18
6/19/2013,37,14,N/A,9,24,N/A,12
6/20/2013,38,17,N/A,9,23,N/A,24
6/21/2013,38,14,N/A,11,16,N/A,27
6/22/2013,37,22,N/A,12,18,N/A,31
6/23/2013,39,15,N/A,10,20,N/A,40
6/24/2013,39,12,N/A,11,21,N/A,38
6/25/2013,N/A,18,N/A,12,17,N/A,36
6/26/2013,N/A,18,N/A,13,25,N/A,33
6/27/2013,N/A,15,N/A,10,15,N/A,N/A
6/28/2013,N/A,23,N/A,11,21,N/A,N/A
6/29/2013,N/A,24,N/A,11,21,N/A,N/A
6/30/2013,N/A,22,N/A,8,21,N/A,N/A
7/1/2013,N/A,24,N/A,10,25,N/A,N/A
7/2/2013,N/A,20,N/A,7,18,N/A,N/A
7/3/2013,N/A,20,N/A,9,23,N/A,N/A
7/4/2013,27,24,N/A,10,18,N/A,8
7/5/2013,35,26,N/A,6,17,N/A,15
7/6/2013,35,25,N/A,10,20,N/A,22
7/7/2013,29,24,N/A,12,20,N/A,20
7/8/2013,20,16,N/A,9,21,N/A,27
7/9/2013,21,14,N/A,9,20,N/A,22
7/10/2013,25,18,N/A,10,18,N/A,14
7/11/2013,27,16,N/A,9,24,N/A,16
7/12/2013,28,14,N/A,7,23,N/A,21
7/13/2013,19,16,N/A,8,19,N/A,16
7/14/2013,20,11,N/A,5,16,N/A,14
7/15/2013,14,15,N/A,5,15,N/A,22
7/16/2013,19,14,N/A,6,24,N/A,22
7/17/2013,20,13,N/A,7,21,N/A,13
7/18/2013,25,16,N/A,12,23,N/A,10
7/19/2013,19,17,N/A,9,23,N/A,23
7/20/2013,24,16,N/A,11,22,N/A,30
7/21/2013,19,19,N/A,7,16,N/A,30
7/22/2013,20,14,N/A,5,20,N/A,25
7/23/2013,26,18,N/A,7,17,N/A,20
7/24/2013,21,14,N/A,6,18,N/A,12
7/25/2013,27,18,N/A,8,19,N/A,14
7/26/2013,18,15,N/A,11,21,N/A,21
7/27/2013,30,17,N/A,10,26,N/A,21
7/28/2013,26,17,N/A,7,24,N/A,16
7/29/2013,16,11,N/A,8,23,N/A,14
7/30/2013,19,11,N/A,8,18,N/A,18
7/31/2013,22,21,N/A,8,19,N/A,18
8/1/2013,27,24,N/A,9,27,N/A,11
8/2/2013,26,23,N/A,13,30,N/A,9
8/3/2013,24,21,N/A,11,23,N/A,15
8/4/2013,20,24,N/A,11,20,N/A,16
8/5/2013,29,26,N/A,10,22,N/A,13
8/6/2013,32,32,N/A,12,29,N/A,9
8/7/2013,27,27,N/A,11,21,N/A,15
8/8/2013,24,15,N/A,9,30,N/A,24
8/9/2013,25,19,N/A,8,25,N/A,11
8/10/2013,25,20,N/A,7,12,N/A,16
8/11/2013,24,19,N/A,8,15,N/A,13
8/12/2013,22,23,N/A,N/A,18,N/A,13
8/13/2013,18,19,N/A,10,19,N/A,12
8/14/2013,16,14,N/A,5,22,N/A,21
8/15/2013,16,13,N/A,N/A,21,N/A,26
8/16/2013,17,15,N/A,7,15,N/A,27
8/17/2013,18,18,N/A,7,19,N/A,12
8/18/2013,22,20,N/A,7,19,N/A,13
8/19/2013,20,20,N/A,9,26,N/A,10
8/20/2013,17,19,N/A,10,23,N/A,12
8/21/2013,21,17,N/A,8,19,N/A,22
8/22/2013,23,16,N/A,7,15,N/A,20
8/23/2013,22,14,N/A,8,21,N/A,20
8/24/2013,27,17,N/A,6,22,N/A,24
8/25/2013,23,13,N/A,7,20,N/A,23
8/26/2013,25,19,N/A,11,12,N/A,38
8/27/2013,25,25,N/A,11,24,N/A,35
8/28/2013,33,24,N/A,11,21,N/A,51
8/29/2013,23,20,N/A,9,18,N/A,26
8/30/2013,23,17,N/A,7,17,N/A,13
8/31/2013,37,24,N/A,6,17,N/A,12
9/1/2013,29,21,N/A,10,20,N/A,13
9/2/2013,21,21,N/A,6,12,N/A,16
9/3/2013,N/A,32,N/A,11,14,N/A,N/A
9/4/2013,N/A,28,N/A,10,15,N/A,17
9/5/2013,43,20,N/A,7,15,N/A,10
9/6/2013,38,16,N/A,10,11,N/A,9
9/7/2013,34,29,N/A,10,N/A,N/A,13
9/8/2013,40,30,N/A,13,13,N/A,10
9/9/2013,32,39,N/A,15,19,N/A,11
9/10/2013,42,37,N/A,16,19,N/A,13
9/11/2013,31,22,N/A,9,17,N/A,9
9/12/2013,41,20,N/A,7,17,N/A,17
9/13/2013,45,18,N/A,7,15,N/A,18
9/14/2013,35,15,N/A,8,16,N/A,20
9/15/2013,29,13,N/A,5,14,N/A,22
9/16/2013,20,9,N/A,10,13,N/A,23
9/17/2013,25,15,N/A,9,13,N/A,24
9/18/2013,30,17,N/A,8,21,N/A,22
9/19/2013,20,11,N/A,6,17,N/A,10
9/20/2013,18,8,N/A,N/A,23,N/A,16
9/21/2013,21,8,N/A,7,27,N/A,24
9/22/2013,18,9,N/A,5,24,N/A,26
9/23/2013,N/A,14,N/A,6,21,N/A,18
9/24/2013,21,15,N/A,7,21,N/A,20
9/25/2013,18,20,N/A,6,17,N/A,14
9/26/2013,29,23,N/A,9,23,N/A,16
9/27/2013,25,31,N/A,12,13,N/A,11
9/28/2013,31,26,N/A,13,17,N/A,14
9/29/2013,35,24,N/A,10,18,N/A,9
9/30/2013,N/A,23,N/A,10,17,N/A,14
10/1/2013,N/A,23,N/A,13,26,N/A,15
10/2/2013,N/A,25,N/A,10,22,N/A,18
10/3/2013,N/A,19,N/A,11,21,N/A,14
10/4/2013,N/A,38,N/A,20,21,N/A,12
10/5/2013,N/A,48,N/A,23,16,N/A,N/A
10/6/2013,N/A,49,N/A,14,27,N/A,10
10/7/2013,N/A,54,N/A,7,35,N/A,10
10/8/2013,N/A,48,17,12,30,N/A,12
10/9/2013,N/A,52,44,15,36,N/A,21
10/10/2013,19,63,29,15,41,N/A,32
10/11/2013,33,68,38,30,38,N/A,32
10/12/2013,N/A,N/A,63,43,35,N/A,32
10/13/2013,51,N/A,53,29,36,N/A,30
10/14/2013,N/A,N/A,44,28,33,N/A,36
10/15/2013,N/A,N/A,45,33,31,N/A,34
10/16/2013,N/A,N/A,26,20,48,N/A,34
10/17/2013,N/A,N/A,17,16,28,N/A,32
10/18/2013,N/A,N/A,16,12,13,N/A,37
10/19/2013,48,N/A,21,13,16,N/A,35
10/20/2013,N/A,N/A,25,8,20,N/A,30
10/21/2013,14,N/A,28,12,22,N/A,30
10/22/2013,26,N/A,45,18,28,N/A,N/A
10/23/2013,30,45,47,22,24,N/A,26
10/24/2013,9,N/A,56,29,21,N/A,26
10/25/2013,27,N/A,68,31,15,N/A,30
10/26/2013,30,N/A,71,43,22,N/A,32
10/27/2013,29,N/A,92,53,26,N/A,28
10/28/2013,29,N/A,72,42,40,N/A,31
10/29/2013,31,N/A,46,31,43,N/A,39
10/30/2013,N/A,N/A,84,48,37,N/A,38
10/31/2013,N/A,N/A,66,40,22,N/A,36
11/1/2013,N/A,N/A,40,23,43,N/A,30
11/2/2013,N/A,N/A,46,23,19,N/A,30
11/3/2013,45,N/A,52,23,31,N/A,29
11/4/2013,36,N/A,57,35,23,N/A,38
11/5/2013,N/A,N/A,67,32,20,N/A,41
11/6/2013,N/A,N/A,49,18,24,N/A,37
11/7/2013,N/A,N/A,36,11,22,N/A,47
11/8/2013,N/A,N/A,23,N/A,25,15,35
11/9/2013,N/A,N/A,48,11,32,15,35
11/10/2013,73,N/A,48,24,23,13,34
11/11/2013,84,N/A,35,28,19,12,39
11/12/2013,26,N/A,40,24,31,14,32
11/13/2013,N/A,N/A,52,20,20,18,32
11/14/2013,N/A,N/A,46,14,24,15,34
11/15/2013,N/A,N/A,25,10,24,11,34
11/16/2013,N/A,N/A,29,9,15,8,32
11/17/2013,N/A,N/A,32,12,18,7,25
11/18/2013,N/A,N/A,53,17,21,8,24
11/19/2013,N/A,N/A,N/A,20,20,9,29
11/20/2013,N/A,N/A,66,26,16,14,25
11/21/2013,N/A,N/A,55,28,32,15,23
11/22/2013,N/A,N/A,52,17,14,15,25
11/23/2013,N/A,N/A,46,17,33,15,31
11/24/2013,N/A,N/A,33,14,24,15,26
11/25/2013,N/A,N/A,53,25,22,16,25
11/26/2013,N/A,N/A,44,18,27,16,21
11/27/2013,N/A,N/A,52,17,36,11,12
11/28/2013,N/A,N/A,46,20,19,10,N/A
11/29/2013,N/A,N/A,38,10,22,10,7
11/30/2013,N/A,N/A,62,20,22,13,17
12/1/2013,N/A,N/A,59,N/A,23,16,15
12/2/2013,N/A,N/A,67,32,21,12,15
12/3/2013,N/A,N/A,92,36,26,16,15
12/4/2013,N/A,N/A,88,41,25,21,17
12/5/2013,N/A,N/A,67,32,31,24,11
12/6/2013,N/A,N/A,71,28,31,25,15
12/7/2013,N/A,N/A,71,34,35,25,17
12/8/2013,N/A,N/A,97,45,36,33,20
12/9/2013,N/A,N/A,122,50,40,34,19
12/10/2013,N/A,N/A,115,53,40,40,18
12/11/2013,N/A,N/A,123,50,50,44,20
12/12/2013,N/A,N/A,126,49,49,59,26
12/13/2013,N/A,N/A,115,48,68,63,29
12/14/2013,N/A,N/A,80,51,43,54,19
12/15/2013,N/A,N/A,52,33,31,47,8
12/16/2013,N/A,N/A,24,12,20,6,10
12/17/2013,N/A,N/A,27,8,21,14,10
12/18/2013,N/A,N/A,62,15,30,18,10
12/19/2013,N/A,N/A,77,20,30,22,12
12/20/2013,N/A,N/A,82,27,36,N/A,11
12/21/2013,N/A,N/A,77,31,33,N/A,13
12/22/2013,N/A,N/A,71,38,42,N/A,14
12/23/2013,N/A,N/A,95,47,53,N/A,20
12/24/2013,N/A,N/A,108,37,45,N/A,18
12/25/2013,N/A,N/A,100,50,46,38,18
12/26/2013,N/A,N/A,124,53,40,51,20
12/27/2013,N/A,N/A,129,60,51,50,29
12/28/2013,N/A,N/A,130,61,52,58,35
12/29/2013,N/A,N/A,115,59,51,71,39
12/30/2013,N/A,N/A,108,60,67,62,38
12/31/2013,N/A,N/A,102,N/A,61,60,39
,,,,,,,
หมายเหตุ ,N/A : ไม่มีข้อมูล,,,,,,
